"id";"grupo";"caixa";"porta_cto";"status";"rn"
2035237;1055;16;1;L;2
2035238;1055;16;2;L;2
2035239;1055;16;3;L;2
2035240;1055;16;4;L;2
2035241;1055;16;5;L;2
2035242;1055;16;6;L;2
2035243;1055;16;7;L;2
2035244;1055;16;8;L;2
2035245;1055;17;1;L;2
2035246;1055;17;2;L;2
2035247;1055;17;3;L;2
2035248;1055;17;4;L;2
2035249;1055;17;5;L;2
2035250;1055;17;6;L;2
2035251;1055;17;7;L;2
2035252;1055;17;8;L;2
2035253;1055;18;1;L;2
2035254;1055;18;2;L;2
2035255;1055;18;3;L;2
2035256;1055;18;4;L;2
2035257;1055;18;5;L;2
2035258;1055;18;6;L;2
2035259;1055;18;7;L;2
2035260;1055;18;8;L;2
2035261;1055;19;1;L;2
156180;1055;19;2;L;2
2035263;1055;19;3;L;2
2035264;1055;19;4;L;2
2035265;1055;19;5;L;2
2035266;1055;19;6;L;2
2035267;1055;19;7;L;2
2035268;1055;19;8;L;2
2035269;1055;20;1;L;2
2035270;1055;20;2;L;2
2035271;1055;20;3;L;2
2035272;1055;20;4;L;2
2035273;1055;20;5;L;2
2035274;1055;20;6;L;2
2035275;1055;20;7;L;2
2035276;1055;20;8;L;2
2035277;1055;21;1;L;2
2035278;1055;21;2;L;2
2035279;1055;21;3;L;2
2035280;1055;21;4;L;2
2035281;1055;21;5;L;2
2035282;1055;21;6;L;2
2035283;1055;21;7;L;2
2035284;1055;21;8;L;2
2035285;1055;22;1;L;2
2035286;1055;22;2;L;2
2035287;1055;22;3;L;2
2035288;1055;22;4;L;2
2035289;1055;22;5;L;2
2035290;1055;22;6;L;2
2035291;1055;22;7;L;2
2035292;1055;22;8;L;2
2035293;1055;23;1;L;2
2035294;1055;23;2;L;2
2035295;1055;23;3;L;2
2035296;1055;23;4;L;2
2035297;1055;23;5;L;2
2035298;1055;23;6;L;2
2035299;1055;23;7;L;2
2035300;1055;23;8;L;2
2035301;1055;24;1;L;2
2035302;1055;24;2;L;2
2035303;1055;24;3;L;2
2035304;1055;24;4;L;2
2035305;1055;24;5;L;2
2035306;1055;24;6;L;2
2035307;1055;24;7;L;2
2035308;1055;24;8;L;2
2035349;1055;25;1;L;2
2035350;1055;25;2;L;2
2035351;1055;25;3;L;2
2035352;1055;25;4;L;2
2035353;1055;25;5;L;2
2035354;1055;25;6;L;2
2035355;1055;25;7;A;2
2035356;1055;25;8;L;2
2035357;1055;26;1;L;2
2035358;1055;26;2;L;2
2035359;1055;26;3;L;2
2035360;1055;26;4;L;2
2035361;1055;26;5;L;2
2035362;1055;26;6;L;2
2035363;1055;26;7;L;2
2035364;1055;26;8;L;2
2035365;1055;27;1;A;2
2035366;1055;27;2;L;2
2035367;1055;27;3;L;2
2035368;1055;27;4;L;2
2035369;1055;27;5;L;2
2035370;1055;27;6;L;2
2035371;1055;27;7;L;2
2035372;1055;27;8;L;2
2035373;1055;28;1;L;2
2035374;1055;28;2;L;2
2035375;1055;28;3;L;2
2035376;1055;28;4;L;2
2035377;1055;28;5;L;2
2035378;1055;28;6;L;2
2035379;1055;28;7;L;2
2035380;1055;28;8;L;2
2035381;1055;29;1;L;2
156260;1055;29;2;L;2
2035383;1055;29;3;L;2
2035384;1055;29;4;L;2
2035385;1055;29;5;L;2
2035386;1055;29;6;L;2
2035387;1055;29;7;L;2
2035388;1055;29;8;L;2
2035389;1055;30;1;L;2
2035390;1055;30;2;L;2
2035391;1055;30;3;L;2
2035392;1055;30;4;L;2
2035393;1055;30;5;L;2
2035394;1055;30;6;L;2
2035395;1055;30;7;L;2
2035396;1055;30;8;L;2
2035397;1055;31;1;L;2
2035398;1055;31;2;L;2
2035399;1055;31;3;L;2
2035400;1055;31;4;L;2
2035401;1055;31;5;L;2
2035402;1055;31;6;L;2
2035403;1055;31;7;L;2
2035404;1055;31;8;L;2
2035405;1055;32;1;L;2
2035406;1055;32;2;L;2
2035407;1055;32;3;L;2
2035408;1055;32;4;L;2
2035409;1055;32;5;L;2
2035410;1055;32;6;L;2
2035411;1055;32;7;L;2
2035412;1055;32;8;L;2
2035413;1055;33;1;L;2
2035414;1055;33;2;L;2
2035415;1055;33;3;L;2
2035416;1055;33;4;L;2
2035417;1055;33;5;L;2
2035418;1055;33;6;L;2
2035419;1055;33;7;L;2
2035420;1055;33;8;L;2
2035421;1055;34;1;L;2
2035422;1055;34;2;L;2
2035423;1055;34;3;L;2
2035424;1055;34;4;L;2
2035425;1055;34;5;L;2
2035426;1055;34;6;L;2
2035427;1055;34;7;L;2
2035428;1055;34;8;L;2
2035429;1055;35;1;L;2
2035430;1055;35;2;L;2
2035431;1055;35;3;L;2
2035432;1055;35;4;L;2
2035433;1055;35;5;L;2
2035434;1055;35;6;L;2
2035435;1055;35;7;L;2
2035436;1055;35;8;L;2
2035437;1055;36;1;L;2
2035438;1055;36;2;L;2
2035439;1055;36;3;L;2
2035440;1055;36;4;L;2
2035441;1055;36;5;L;2
2035442;1055;36;6;L;2
2035443;1055;36;7;L;2
2035444;1055;36;8;L;2
2035445;1055;37;1;L;2
2035446;1055;37;2;L;2
2035447;1055;37;3;L;2
2035448;1055;37;4;A;2
2035449;1055;37;5;L;2
2035450;1055;37;6;L;2
2035451;1055;37;7;L;2
2035452;1055;37;8;L;2
2035453;1055;38;1;L;2
2035454;1055;38;2;L;2
2035455;1055;38;3;L;2
2035456;1055;38;4;L;2
2035457;1055;38;5;L;2
2035458;1055;38;6;L;2
2035459;1055;38;7;L;2
2035460;1055;38;8;L;2
2035461;1055;39;1;L;2
2035462;1055;39;2;L;2
2035463;1055;39;3;L;2
2035464;1055;39;4;L;2
2035465;1055;39;5;L;2
2035466;1055;39;6;L;2
2035467;1055;39;7;L;2
2035468;1055;39;8;L;2
2035469;1055;40;1;L;2
2035470;1055;40;2;L;2
2035471;1055;40;3;L;2
2035472;1055;40;4;L;2
2035473;1055;40;5;L;2
2035474;1055;40;6;L;2
2035475;1055;40;7;L;2
2035476;1055;40;8;L;2
2035477;1055;41;1;A;2
2035478;1055;41;2;L;2
2035479;1055;41;3;L;2
2035480;1055;41;4;L;2
156359;1055;41;5;L;2
2035482;1055;41;6;L;2
2035483;1055;41;7;L;2
2035484;1055;41;8;L;2
2035485;1055;42;1;L;2
2035486;1055;42;2;L;2
2035487;1055;42;3;L;2
